Date,NetPnL,TradesOpened
2022-07-29,37.57,1
2022-08-01,176.90,4
2022-08-03,33.81,2
2022-08-04,-1026.80,4
2022-08-05,-562.56,2
2022-08-08,161.39,1
2022-08-09,-106.50,2
2022-08-10,662.65,3
2022-08-11,20.52,2
2022-08-12,-45.40,3
2022-08-15,-171.23,1
2022-08-16,-100.22,1
2022-08-17,419.91,6
2022-08-18,483.18,2
2022-08-19,34.94,1
2022-08-23,726.63,7
2022-08-24,-78.80,1
2022-08-25,20.76,1
2022-08-26,0.49,3
2022-08-30,-151.51,1
2022-08-31,-194.52,5
2022-09-01,26.84,1
2022-09-02,64.25,2
2022-09-05,38.82,3
2022-09-07,-27.36,2
2022-09-08,-159.83,1
2022-09-09,351.67,2
2022-09-12,-44.29,2
2022-09-13,-280.76,3
2022-09-15,176.63,3
2022-09-16,6.91,2
2022-09-19,-276.78,5
2022-09-20,-191.12,1
2022-09-21,-233.32,2
2022-09-22,15.87,1
2022-09-23,1137.31,5
2022-09-26,695.68,2
2022-09-27,51.43,3
2022-09-28,-53.16,1
2022-09-29,337.38,2
2022-09-30,-112.40,3
2022-10-03,814.62,3
2022-10-04,227.79,1
2022-10-05,-162.27,4
2022-10-06,1001.09,4
2022-10-07,-17.06,4
2022-10-11,203.31,2
2022-10-12,191.44,2
2022-10-13,1110.38,3
2022-10-14,-152.35,4
2022-10-17,216.85,2
2022-10-19,27.82,5
2022-10-20,596.44,5
2022-10-21,801.34,2
2022-10-24,-221.75,2
2022-10-25,-261.28,1
2022-10-26,-97.83,2
2022-10-27,77.90,2
2022-10-28,-70.01,3
2022-10-31,669.60,7
2022-11-01,-344.03,2
2022-11-02,-306.56,1
2022-11-03,30.22,1
2022-11-04,-299.58,4
2022-11-07,-50.83,2
2022-11-08,438.49,3
2022-11-09,-103.69,6
2022-11-10,2067.67,3
2022-11-11,336.52,3
2022-11-14,-704.48,1
2022-11-15,1337.53,2
2022-11-16,-446.29,3
2022-11-17,12.77,1
2022-11-18,-25.04,2
2022-11-21,10.97,2
2022-11-22,553.91,5
2022-11-23,1262.62,2
2022-11-25,-574.47,2
2022-11-28,164.75,5
2022-11-30,449.00,2
2022-12-02,-544.46,3
2022-12-05,555.52,3
2022-12-06,244.68,1
2022-12-07,-126.52,1
2022-12-08,-514.18,6
2022-12-12,154.31,4
2022-12-13,894.00,2
2022-12-14,-106.25,6
2022-12-15,-108.01,3
2022-12-16,-310.57,2
2022-12-19,863.36,4
2022-12-20,-292.30,2
2022-12-21,-170.51,1
2022-12-22,31.95,2
2022-12-23,-99.33,3
2022-12-26,347.74,2
2022-12-27,423.82,3
2022-12-29,207.29,2
2022-12-30,-352.39,5
2023-01-02,71.90,5
2023-01-03,29.08,2
2023-01-04,-64.32,3
2023-01-05,-256.85,3
2023-01-06,-242.52,3
2023-01-09,271.31,1
2023-01-10,211.15,1
2023-01-11,-193.88,1
2023-01-12,-199.65,6
2023-01-13,25.02,1
2023-01-16,-120.54,3
2023-01-19,69.77,1
